"filename", "language", "Swift", "Markdown", "Shell Script", "YAML", "JSON with Comments", "comment", "blank", "total"
"/Users/hiro/Local/wuse-project/quiver/Sources/HTTP3/WebTransport/WebTransportCapsule.swift", "Swift", 194, 0, 0, 0, 0, 215, 54, 463
"/Users/hiro/Local/wuse-project/quiver/Sources/HTTP3/WebTransport/WebTransportError.swift", "Swift", 131, 0, 0, 0, 0, 163, 43, 337
"/Users/hiro/Local/wuse-project/quiver/Sources/HTTP3/WebTransport/WebTransportOptions.swift", "Swift", 119, 0, 0, 0, 0, 209, 44, 372
"/Users/hiro/Local/wuse-project/quiver/Sources/HTTP3/WebTransport/WebTransportOptionsAdvanced.swift", "Swift", 49, 0, 0, 0, 0, 129, 22, 200
"/Users/hiro/Local/wuse-project/quiver/Sources/HTTP3/WebTransport/WebTransportReply.swift", "Swift", 48, 0, 0, 0, 0, 157, 19, 224
"/Users/hiro/Local/wuse-project/quiver/Sources/HTTP3/WebTransport/WebTransportServer.swift", "Swift", 315, 0, 0, 0, 0, 211, 88, 614
"/Users/hiro/Local/wuse-project/quiver/Sources/HTTP3/WebTransport/WebTransportServerOptions.swift", "Swift", 125, 0, 0, 0, 0, 164, 41, 330
"/Users/hiro/Local/wuse-project/quiver/Sources/HTTP3/WebTransport/WebTransportSession.swift", "Swift", 553, 0, 0, 0, 0, 452, 150, 1155
"/Users/hiro/Local/wuse-project/quiver/Sources/HTTP3/WebTransport/WebTransportStream.swift", "Swift", 156, 0, 0, 0, 0, 247, 46, 449
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQClient/MOQClient.docc/Architecture.md", "Markdown", 0, 6, 0, 0, 0, 0, 6, 12
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQClient/MOQClient.docc/ErrorsAndDiagnostics.md", "Markdown", 0, 6, 0, 0, 0, 0, 6, 12
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQClient/MOQClient.docc/GettingStarted.md", "Markdown", 0, 7, 0, 0, 0, 0, 6, 13
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQClient/MOQClient.docc/MOQClient.md", "Markdown", 0, 23, 0, 0, 0, 0, 16, 39
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQClient/MOQClient.docc/PerformanceAndBackpressure.md", "Markdown", 0, 6, 0, 0, 0, 0, 6, 12
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQClient/MOQClient.docc/SessionLifecycle.md", "Markdown", 0, 7, 0, 0, 0, 0, 6, 13
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQClient/MOQClient.swift", "Swift", 3, 0, 0, 0, 0, 1, 1, 5
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQCore/MOQCore.docc/Architecture.md", "Markdown", 0, 7, 0, 0, 0, 0, 6, 13
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQCore/MOQCore.docc/ErrorHandling.md", "Markdown", 0, 6, 0, 0, 0, 0, 6, 12
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQCore/MOQCore.docc/GettingStarted.md", "Markdown", 0, 7, 0, 0, 0, 0, 6, 13
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQCore/MOQCore.docc/MOQCore.md", "Markdown", 0, 27, 0, 0, 0, 0, 14, 41
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQCore/MOQCore.docc/SessionLifecycle.md", "Markdown", 0, 7, 0, 0, 0, 0, 6, 13
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQCore/MOQCore.docc/WithMOQClient.md", "Markdown", 0, 6, 0, 0, 0, 0, 6, 12
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQCore/MOQCore.docc/WithMOQRelay.md", "Markdown", 0, 6, 0, 0, 0, 0, 6, 12
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQCore/MOQCore.docc/WithQUICAndHTTP3.md", "Markdown", 0, 6, 0, 0, 0, 0, 6, 12
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQCore/MOQObject.swift", "Swift", 96, 0, 0, 0, 0, 33, 26, 155
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQCore/MOQSession.swift", "Swift", 94, 0, 0, 0, 0, 60, 30, 184
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQCore/MOQTrack.swift", "Swift", 58, 0, 0, 0, 0, 24, 18, 100
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQRelay/MOQRelay.docc/Architecture.md", "Markdown", 0, 7, 0, 0, 0, 0, 6, 13
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQRelay/MOQRelay.docc/BackpressureAndFlowControl.md", "Markdown", 0, 6, 0, 0, 0, 0, 6, 12
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQRelay/MOQRelay.docc/ErrorsAndDiagnostics.md", "Markdown", 0, 6, 0, 0, 0, 0, 6, 12
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQRelay/MOQRelay.docc/GettingStarted.md", "Markdown", 0, 7, 0, 0, 0, 0, 6, 13
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQRelay/MOQRelay.docc/MOQRelay.md", "Markdown", 0, 27, 0, 0, 0, 0, 17, 44
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQRelay/MOQRelay.docc/OperationalGuidelines.md", "Markdown", 0, 7, 0, 0, 0, 0, 6, 13
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQRelay/MOQRelay.docc/Performance.md", "Markdown", 0, 7, 0, 0, 0, 0, 6, 13
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQRelay/MOQRelay.docc/RelayOperationModel.md", "Markdown", 0, 7, 0, 0, 0, 0, 6, 13
"/Users/hiro/Local/wuse-project/quiver/Sources/MOQRelay/MOQRelay.swift", "Swift", 50, 0, 0, 0, 0, 21, 13, 84
"/Users/hiro/Local/wuse-project/quiver/Sources/NIOUDPTransport/AddressHelpers.swift", "Swift", 95, 0, 0, 0, 0, 53, 25, 173
"/Users/hiro/Local/wuse-project/quiver/Sources/NIOUDPTransport/NIOUDPTransport+Exports.swift", "Swift", 3, 0, 0, 0, 0, 4, 2, 9
"/Users/hiro/Local/wuse-project/quiver/Sources/NIOUDPTransport/NIOUDPTransport.swift", "Swift", 498, 0, 0, 0, 0, 135, 97, 730
"/Users/hiro/Local/wuse-project/quiver/Sources/NIOUDPTransport/UDPConfiguration.swift", "Swift", 90, 0, 0, 0, 0, 55, 24, 169
"/Users/hiro/Local/wuse-project/quiver/Sources/NIOUDPTransport/UDPError.swift", "Swift", 43, 0, 0, 0, 0, 14, 13, 70
"/Users/hiro/Local/wuse-project/quiver/Sources/NIOUDPTransport/UDPTransport.swift", "Swift", 53, 0, 0, 0, 0, 109, 19, 181
"/Users/hiro/Local/wuse-project/quiver/Sources/QPACK/HuffmanCodec.swift", "Swift", 375, 0, 0, 0, 0, 353, 36, 764
"/Users/hiro/Local/wuse-project/quiver/Sources/QPACK/QPACK.docc/Architecture.md", "Markdown", 0, 7, 0, 0, 0, 0, 6, 13
"/Users/hiro/Local/wuse-project/quiver/Sources/QPACK/QPACK.docc/ComplianceAndTesting.md", "Markdown", 0, 7, 0, 0, 0, 0, 6, 13
"/Users/hiro/Local/wuse-project/quiver/Sources/QPACK/QPACK.docc/EncodingAndDecoding.md", "Markdown", 0, 7, 0, 0, 0, 0, 6, 13
"/Users/hiro/Local/wuse-project/quiver/Sources/QPACK/QPACK.docc/ErrorHandling.md", "Markdown", 0, 7, 0, 0, 0, 0, 6, 13
"/Users/hiro/Local/wuse-project/quiver/Sources/QPACK/QPACK.docc/GettingStarted.md", "Markdown", 0, 8, 0, 0, 0, 0, 6, 14
"/Users/hiro/Local/wuse-project/quiver/Sources/QPACK/QPACK.docc/PerformanceNotes.md", "Markdown", 0, 6, 0, 0, 0, 0, 6, 12
"/Users/hiro/Local/wuse-project/quiver/Sources/QPACK/QPACK.docc/QPACK.md", "Markdown", 0, 27, 0, 0, 0, 0, 13, 40
"/Users/hiro/Local/wuse-project/quiver/Sources/QPACK/QPACKDecoder.swift", "Swift", 172, 0, 0, 0, 0, 204, 62, 438
"/Users/hiro/Local/wuse-project/quiver/Sources/QPACK/QPACKEncoder.swift", "Swift", 108, 0, 0, 0, 0, 197, 33, 338
"/Users/hiro/Local/wuse-project/quiver/Sources/QPACK/QPACKInteger.swift", "Swift", 132, 0, 0, 0, 0, 117, 45, 294
